"Pill_id","molecules_contained","Molecule_id","quantity_(in_milligrams)."
"369","","10","35.1"
"369","","4","2.2"
"369","","9","0.7"
"370","","10","27.4"
"370","","11","3.5"
"370","","9","1.2"
"373","","1","157.4"
"374","","4","44.9"
"374","","21","45.2"
"375","","1","141.2"
"376","","10","45.9"
"376","","11","6.2"
"376","","25","8.5"
"377","","6","55"
"377","","21","53"
"378","","10","1.9"
"378","","4","0.3"
"378","","13","5.1"
"378","","25","2.1"
"380","","10","45.3"
"380","","11","5.4"
"380","","25","9.1"
"381","","4","23.6"
"382","","10","8.9"
"382","","4","6.5"
"382","","25","10.1"
"383","","10","46.0"
"383","","11","10.9"
"384","","10","43.3"
"384","","25","29.3"
"385","","13","7.2"
"387","","10","44.7"
"387","","11","10.2"
"387","","25","2.5"
"388","","1","149.2"
"389","","10","23.0"
"389","","5","5.0"
"390","","10","19.4"
"390","","25","25.3"
"391","","4","16.8"
"392","","10","27.4"
"392","","11","3.5"
"392","","9","1.2"
"392","","25","5.7"
"393","","4","52.2"
"393","","5","4.7"
"394","","4","28.4"
"394","","1","51.9"
"395","","4","1.6"
"395","","1","68.1"
"396","","10","13"
"396","","6","1.9"
"396","","11","3.5"
"397","","6","7.6"
"397","","1","99.4"
"398","","20","131.2"
"399","","4","76.9"
"399","","5","6.4"
"400","","10","44.3"
"400","","11","13.4"
"401","","10","55.2"
"401","","25","8.2"
"402","","9","30"
"403","","10","26.3"
"404","","9","34.9"
"405","","10","48.2"
"405","","11","7.9"
"406","","10","49.3"
"406","","11","10.7"
"407","","13","7.0"
"408","","10","27.4"
"408","","11","2.1"
"408","","31","0.9"
"409","","1","194.6"
"410","","6","9.1"
"411","","6","12.6"
"411","","5","7.2"
"411","","1","8.6"
"412","","6","15.4"
"419","","10","36.24"
"420","","10","47.78"
"421","","10","14.1"
"422","","10","25.7"
"422","","31","2.0"
"422","","25","5.1"
"424","","10","10"
"425","","10","47"
"426","","10","13"
"427","","10","30"
"428","","10","40"
"429","","10","25"
"431","","11","40"
"434","","32","135"
"435","","10","27.6"
"435","","25","5.3"
"436","","10","36.8"
"436","","25","10.6"
"437","","25","45.2"
"438","","10","40"
"439","","10","54"
"439","","11","10"
"440","","21","60"
"441","","10","20"
"441","","1","6"
"442","","10","26"
"443","","10","43"
"447","","1","130"
"454","","1","130"
"455","","10","30"
"456","","10","50"
"457","","10","54"
"459","","10","23"
"460","","10","42"
"461","","10","57"
"462","","10","105"
"463","","10","50"
"463","","11","10"
"464","","10","23.0"
"464","","33","2.1"
"464","","25","15.3"
"465","","32","83.2"
"466","","10","25.9"
"466","","25","27.2"
"467","","20","116.3"
"468","","10","36.8"
"468","","25","10.6"
"469","","11","43.9"
"471","","10","46.2"
"471","","25","4.9"
"473","","10","42.2"
"474","","10","20.2"
"475","","1","132.6"
"476","","10","35.9"
"476","","6","1.2"
"477","","10","16.1"
"477","","6","9.3"
"477","","25","16.8"
"478","","6","9.2"
"478","","25","13.7"
"479","","6","2.0"
"479","","25","20.3"
"480","","10","26.7"
"480","","25","7.6"
"481","","10","40.6"
"481","","25","3.0"
"489","","10","32.6"
"490","","20","147.6"
"492","","10","46"
"493","","10","17.6"
"494","","10","39.9"
"495","","10","34.5"
"495","","25","7.4"
"496","","10","15.5"
"497","","5","103.7"
"501","","5","119"
"502","","10","23.4"
"503","","10","30.1"
"504","","13","4.3"
"509","","5","143"
"510","","1","145.9"
"511","","13","12.6"
"512","","1","121.6"
"513","","1","120.8"
"514","","4","30.5"
"514","","5","4.0"
"514","","1","106"
"515","","21","103"
"516","","10","22.6"
"516","","34","4.5"
"516","","4","40.0"
"517","","10","16.4"
"517","","1","0.1"
"517","","4","12.0"
"518","","13","5.8"
"518","","4","2.6"
"519","","10","22.4"
"519","","34","3.1"
"519","","4","64.7"
"520","","13","3.5"
"521","","13","6.6"
"522","","10","49.1"
"523","","10","38.6"
"524","","10","48.4"
"525","","12","22.0"
"526","","13","7.0"
"527","","13","5.2"
"528","","13","5.3"
"529","","10","46"
"530","","10","46"
"531","","10","17"
"531","","4","37"
"531","","1","2"
"532","","10","59"
"532","","4","34"
