"Pill_id","name","logo","image","image_back","break_notch","color","weight","diameter","thickness","place","date","more_infos"
"317","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-5U3rXu.jpg","","True","#d28c94","321.0 mg","9.6 mm","4.1 mm","Zürich","2009/08/28",""
"318","Mercedes","Mercedes","http://vied12.github.io/pillen/static/pillen/bild1-Cww5vO.jpg","","True","#9fa29b","304.2 mg","9.3 mm","3.8 mm","Zürich","2009/08/28",""
"319","Spirale","Spirale/ Rückseite R","http://vied12.github.io/pillen/static/pillen/bild1-e5HMaS.jpg","http://vied12.github.io/pillen/static/pillen/bild2-MHXq8Z.jpg","False","#b5959c,#b28d8b","242.8 mg","8.2 mm","4.5 mm","Zürich","2009/08/21",""
"320","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-g5BZQs.jpg","http://vied12.github.io/pillen/static/pillen/bild2-ay6frA.jpg","True","#c2d9c0,#bad2b9","256.9 mg","9.3 mm","3.2 mm","Zürich","2009/08/21",""
"321","Roche 2","Roche 2","http://vied12.github.io/pillen/static/pillen/bild1-ytDiEt.jpg","http://vied12.github.io/pillen/static/pillen/bild2-grNXNZ.jpg","False","#9ba493,#bfc3b8","448.0 mg","9.1 mm","5.4 mm","Zürich","2009/08/14",""
"322","Batman","Batman","http://vied12.github.io/pillen/static/pillen/bild1-bNipmw.jpg","http://vied12.github.io/pillen/static/pillen/bild2-4mfEcq.jpg","True","#8f9c9f,#b5c1c4","219.8 mg","9.1 mm","3.1 mm","Zürich","2009/08/07",""
"323","Spirale","Spirale","http://vied12.github.io/pillen/static/pillen/bild1-AqsZfj.jpg","http://vied12.github.io/pillen/static/pillen/bild2-GMPoh4.jpg","False","#9fcdc7,#9abeb8","426.8 mg","8.2 mm","7.4 mm","Zürich","2009/08/03",""
"324","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-Sx8cGT.jpg","","False","#e7873a","","9 mm","3.5 mm","Wien","2009/08/01",""
"325","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-tGjZPF.jpg","","False","#d6b95b","","9 mm","3.5 mm","Wien","2009/08/01",""
"326","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-5Lw5jT.jpg","","False","#f7a03a","","7 mm","5 mm","Wien","2009/08/01",""
"327","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-2AonTi.jpg","","False","#d34116","","8 mm","4.5 mm","Wien","2009/08/01",""
"328","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-dCkwZu.jpg","","False","#d25e27","","9 mm","4 mm","Wien","2009/08/01",""
"329","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-T7iowi.jpg","","False","#fdbf51","","7 mm","5 mm","Wien","2009/08/01",""
"330","Jungfrau (Kappa)","Jungfrau (Kappa)","http://vied12.github.io/pillen/static/pillen/bild1-PBkedj.jpg","http://vied12.github.io/pillen/static/pillen/bild2-Col7Z5.jpg","False","#d3c5bd,#fbeddf","274.6 mg","9.1 mm","3.5 mm","Zürich","2009/07/27",""
"331","Puma","Puma","http://vied12.github.io/pillen/static/pillen/bild1-Dv43no.jpg","","True","#6d8f9f","189.7 mg","7.1 mm","4.3 mm","Zürich","2009/07/24",""
"332","Mitsubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-LLDTLZ.jpg","","True","#cde7bc","322.7 mg","9.4 mm","4.3 mm","Zürich","2009/07/24",""
"333","Mitshubishi aufgetaucht Mai und Juli","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-spMbnd.jpg","http://vied12.github.io/pillen/static/pillen/bild2-Oy07yE.jpg","True","#c2d9c0,#bcd4ba","284.5 mg","9.2 mm","3.4 mm","Zürich","2009/07/08",""
"334","Mitshubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-vyzbBo.jpg","","False","#884018","unbekannt","8 mm","5 mm","Wien","2009/07/04",""
"335","Noname (extrem bröckelig)","Noname","http://vied12.github.io/pillen/static/pillen/bild1-Gg6k3d.jpg","","False","#ba8338","unbekannt","ca. 9 mm","ca. 3 mm","Wien","2009/07/04",""
"336","Ying&Yang","Ying&Yang","http://vied12.github.io/pillen/static/pillen/bild1-XbOzaV.jpg","","False","#aa7620","unbekannt","8 mm","3 mm","Wien","2009/07/04",""
"337","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-IFyeja.jpg","","False","#80500b","unbekannt","8 mm","3 mm","Wien","2009/07/04",""
"338","Noname","Noname","http://vied12.github.io/pillen/static/pillen/bild1-oVS0cN.jpg","http://vied12.github.io/pillen/static/pillen/bild2-7FoEdd.jpg","False","#ab7e2e,#ae8a51","0,18 g","7,07 mm","4,96 mm","Wien","2009/07/04",""
"339","Dollar","Dollarzeichen","http://vied12.github.io/pillen/static/pillen/bild1-wyHxI5.jpg","","False","#d8a954","unbekannt","8 mm","4 mm","Wien","2009/07/04",""
"340","Dollar","Dollarzeichen","http://vied12.github.io/pillen/static/pillen/bild1-Hp5KIn.jpg","","False","#885d18","unbekannt","8 mm","4 mm","Wien","2009/07/04",""
